Company,Ticker Symbol,Stock Exchange,Sector,Sub-Industry,HQ City,HQ State,Employees,Founded,MarketCap ($Billions),Price,Price-26-week,Price-52-week,High-52-week,Low-52-week,Volume (thousands of shares)
Apple,AAPL,Nasdaq,Information Technology,"Technology Hardware, Storage & Peripherals",Cupertino,California,"154,000",1977,"2,226.92",137.35,161.41,126.90,182.94,123.13,"117,726"
Microsoft,MSFT,Nasdaq,Information Technology,Systems Software,Redmond,Washington,"181,000",1975,"1,888.91",253.14,337.68,251.72,349.67,243.00,"33,175"
Alphabet (Class C),GOOG,Nasdaq,Communication Services,Interactive Media & Services,Mountain View,California,"163,906",1998,"1,436.86","2,214.91","2,935.14","2,409.07","3,042.00","2,127.46","1,578"
Alphabet (Class A),GOOGL,Nasdaq,Communication Services,Interactive Media & Services,Mountain View,California,"163,906",1998,"1,436.86","2,207.68","2,915.64","2,362.87","3,030.93","2,115.93","1,859"
Amazon,AMZN,Nasdaq,Consumer Discretionary,Internet & Direct Marketing Retail,Seattle,Washington,"1,608,000",1994,"1,094.68","2,146.38","3,580.04","3,259.05","3,773.08","2,048.11","5,390"
Tesla,TSLA,Nasdaq,Consumer Discretionary,Automobile Manufacturers,Palo Alto,California,"99,290",2003,687.81,709.42,"1,109.03",604.69,"1,243.49",571.07,"29,635"
Berkshire Hathaway,BRK.B,NYSE,Financials,Multi-Sector Holdings,Omaha,Nebraska,"372,000",1839,671.09,304.15,288.56,287.20,362.10,270.73,"4,146"
Meta,FB,Nasdaq,Communication Services,Interactive Media & Services,Menlo Park,California,"77,805",2004,523.78,191.29,337.25,327.79,384.33,169.00,"25,059"
Johnson & Johnson,JNJ,NYSE,Health Care,Pharmaceuticals,New Brunswick,New Jersey,"141,700",1886,465.71,173.94,160.69,170.08,186.69,155.72,"7,041"
UnitedHealth Group,UNH,NYSE,Health Care,Managed Health Care,Minnetonka,Minnesota,"350,000",1977,455.70,478.55,447.13,413.05,553.29,383.12,"2,280"
Nvidia,NVDA,Nasdaq,Information Technology,Semiconductors,Santa Clara,California,"22,473",1993,418.02,171.24,317.46,156.48,346.47,142.71,"63,989"
Visa,V,NYSE,Information Technology,Data Processing & Outsourced Services,San Francisco,California,"21,500",1958,414.61,197.37,198.49,229.02,252.67,186.67,"12,187"
ExxonMobil,XOM,NYSE,Energy,Integrated Oil & Gas,Irving,Texas,"63,000",1999,386.96,91.14,63.13,58.26,93.59,52.10,"27,239"
JPMorgan Chase,JPM,NYSE,Financials,Diversified Banks,New York City,New York,"273,948",1799,344.63,118.31,168.28,161.85,172.96,115.02,"24,377"
Procter & Gamble,PG,NYSE,Consumer Staples,Personal Products,Cincinnati,Ohio,"3,000",1837,340.20,141.70,149.44,138.43,165.35,131.94,"7,134"
Chevron,CVX,NYSE,Energy,Integrated Oil & Gas,San Ramon,California,"42,595",1879,329.74,166.86,116.30,103.87,175.65,92.86,"10,216"
Walmart,WMT,NYSE,Consumer Staples,Hypermarkets & Super Centers,Bentonville,Arkansas,"2,300,000",1962,328.13,119.07,145.81,142.34,160.77,117.27,"14,560"
Mastercard,MA,NYSE,Information Technology,Data Processing & Outsourced Services,Harrison,New York,"24,000",1966,326.98,332.22,329.00,367.22,399.92,305.61,"3,421"
Home Depot,HD,NYSE,Consumer Discretionary,Home Improvement Retail,Atlanta,Georgia,"490,600",1978,296.77,287.76,408.37,316.75,420.61,279.59,"4,306"
Pfizer,PFE,NYSE,Health Care,Pharmaceuticals,New York City,New York,"79,000",1849,294.40,50.65,51.08,39.33,61.71,38.48,"24,036"
